id;description;id_reference;token;status;created_date;comments
1;mint green Wooden deposit;Grocery Electronics Tuna;Small Future;EXPIRE;2020-01-07T03:56:41;24/365
2;hardware Manager connecting;Manat;B2C Intelligent Plastic Computer adapter;EXPIRE;2020-01-07T03:31:35;North Dakota Unbranded
3;connect;Burgs yellow;quantifying;INACTIVE;2020-01-07T11:08:44;Soap Associate
4;Shoals Mouse;Lake;Rubber user-centric;ACTIVE;2020-01-07T20:37:45;monitor Branding
5;Chair USB secured line;SDR Pizza Saint Lucia;Accounts;ACTIVE;2020-01-07T10:58:46;Practical Plastic Car cutting-edge Gloves
6;Communications;Chief Handcrafted Plastic Towels Ergonomic Concrete Computer;Creative Christmas Island Zambian Kwacha;INACTIVE;2020-01-07T03:10:18;Global Progressive Analyst
7;exploit;parse 24 hour;Hawaii Planner Planner;ACTIVE;2020-01-07T04:30:44;definition microchip port
8;Rubber New Jersey invoice;Savings Account online;payment IB user-centric;INACTIVE;2020-01-07T11:20:40;Missouri strategy navigating
9;Decentralized;Illinois Jamaica;info-mediaries EXE Wooden;EXPIRE;2020-01-07T19:18:06;Liaison leading-edge
10;Jewelery haptic Legacy;deposit;Chief;EXPIRE;2020-01-07T04:30:26;Islands
