id;description;valid_from;valid_to;status;type;created_date;created_by;comments
1;analyzing Danish Krone;2020-01-07T13:53:57;2020-01-07T00:46:33;INACTIVE;Personal Loan Account Montserrat online;2020-01-07T01:49:56;Fantastic Small Steel Chicken Refined;Morocco Walk
2;Fresh Tools;2020-01-07T20:46:29;2020-01-07T17:32:33;EXPIRE;Practical Metal Towels;2020-01-07T08:06:34;Direct Bike Greenland;Quality compress Expanded
3;Coordinator e-commerce;2020-01-07T04:20:43;2020-01-07T16:09:53;EXPIRE;District;2020-01-07T18:45:49;index Agent Berkshire;River
4;Corporate;2020-01-07T01:51:19;2020-01-07T07:28:47;EXPIRE;Junctions Music;2020-01-07T08:22:16;generate Bedfordshire;Avon Shoes Investment Account
5;framework;2020-01-07T02:00:16;2020-01-07T00:25:49;INACTIVE;Savings Account Sleek Swiss Franc;2020-01-07T16:55:14;Kansas violet;Handcrafted Soft Chicken
6;Morocco RSS;2020-01-07T09:49:51;2020-01-07T16:52:50;ACTIVE;channels Integration Bedfordshire;2020-01-07T00:08:39;Principal Yemen JBOD;Soft mobile
7;AGP Technician SMS;2020-01-07T06:31:14;2020-01-07T14:14:10;ACTIVE;Central;2020-01-07T15:17:26;e-tailers SSL;Gabon Sleek
8;mobile;2020-01-07T13:01:44;2020-01-07T17:08:59;INACTIVE;Montserrat;2020-01-07T01:15:59;object-oriented;gold
9;Money Market Account Baby invoice;2020-01-07T10:55:26;2020-01-07T01:07:43;INACTIVE;Strategist;2020-01-06T23:16:56;eyeballs Chief Summit;reintermediate
10;reboot synthesizing Centers;2020-01-07T14:08:28;2020-01-07T00:29:46;ACTIVE;Savings Account bypass explicit;2020-01-07T07:41:34;composite Lodge Licensed Wooden Shirt;transmit encryption Fully-configurable
